"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.485163455,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.650171647,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.601863521,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.439655469,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-0.295307468,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-7.003254372,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,3.403553685,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,3.127661985,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,1.936355731,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.703632804,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.947355086,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,2.194542322,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,1.400794609,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-6.309708683,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,-3.700500876,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,-1.123294891,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.80027473,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,-0.317891543,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.30910888,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,-0.53619398,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-3.042256349,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-10.726835387,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,11.794955007,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,-2.708040395,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.334225884,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.56439591,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.647827435,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.249999062,,
"AUT","Austria","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate based on seasonally adjusted volume data,  percentage change from same quarter of previous year","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-3.571555373,,
