"ReportingCountry","Group","Vaccine brand","Week","Group population","Doses received","First dose","Second dose","Unknown dose","Refused first doses","NumberDosesAdministered","First dose uptake (%)","Second dose uptake (%)","Unknown dose uptake (%)","Total doses","Uptake any dose (%)"
"Austria","ALL","AZ","2020-53","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","COM","2020-53","7358443","61425","5028","0","","","5028","0.1","0","","","0.1"
"Austria","ALL","JANSS","2020-53","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","MOD","2020-53","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","MOD","2021-01","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","AZ","2021-01","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","COM","2021-01","7358443","61425","25561","0","","","25561","0.3","0","","","0.3"
"Austria","ALL","JANSS","2021-01","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","COM","2021-02","7358443","61425","83067","371","","","83438","1.1","0.0050418274626847","","","1.1"
"Austria","ALL","JANSS","2021-02","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","MOD","2021-02","7358443","0","86","0","","","86","0.0","0","","","0.0"
"Austria","ALL","AZ","2021-02","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","AZ","2021-03","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","COM","2021-03","7358443","58500","92169","4379","","","96548","1.3","0.0595098718574024","","","1.3"
"Austria","ALL","JANSS","2021-03","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","MOD","2021-03","7358443","7200","206","0","","","206","0.0","0","","","0.0"
"Austria","ALL","AZ","2021-04","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","COM","2021-04","7358443","54990","27197","17193","","","44390","0.4","0.233649971875844","","","0.6"
"Austria","ALL","JANSS","2021-04","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","MOD","2021-04","7358443","0","3822","0","","","3822","0.1","0","","","0.1"
"Austria","ALL","AZ","2021-05","7358443","36000","0","1","","","1","0.0","0.0000135898314358078","","","0.0"
"Austria","ALL","COM","2021-05","7358443","66690","16857","77216","","","94073","0.2","1.04935242414734","","","1.3"
"Austria","ALL","JANSS","2021-05","7358443","0","0","0","","","0","0.0","0","","","0.0"
"Austria","ALL","MOD","2021-05","7358443","28800","1675","0","","","1675","0.0","0","","","0.0"
"Austria","ALL","AZ","2021-06","7358443","43200","10657","0","","","10657","0.1","0","","","0.1"
"Austria","ALL","COM","2021-06","7358443","66690","13542","86152","","","99694","0.2","1.17079115785772","","","1.4"
"Austria","ALL","JANSS","2021-06","7358443","0","0","0","","","0","0.0","0","","","0.0"
